configuration,seed,energy,feasible,interventions,geometry_acquisitions,source,jaccard_vs_milp_oracle
ground_truth_oracle,33020,95.25699820683803,True,12,0,illustrative,0.15789473684210525
ground_truth_oracle,33021,26.46832007030025,True,12,0,illustrative,0.2222222222222222
ground_truth_oracle,33022,72.08240911422763,True,12,0,illustrative,0.2222222222222222
ground_truth_oracle,33023,-32.599153738003224,True,10,0,illustrative,0.3333333333333333
ground_truth_oracle,33024,72.0839582500048,True,12,0,illustrative,0.2222222222222222
ground_truth_oracle,33025,0.0741488307248801,True,12,0,illustrative,0.2222222222222222
ground_truth_oracle,33026,27.470450723543763,True,12,0,illustrative,0.29411764705882354
ground_truth_oracle,33027,-9.432645023567602,True,11,0,illustrative,0.23529411764705882
ground_truth_oracle,33028,28.85597999987658,True,11,0,illustrative,0.3125
ground_truth_oracle,33029,31.23886668961495,True,12,0,illustrative,0.375
ground_truth_oracle,33030,57.928352339193225,True,12,0,illustrative,0.047619047619047616
ground_truth_oracle,33031,15.779631806886755,True,11,0,illustrative,0.16666666666666666
ground_truth_oracle,33032,38.47825446748175,True,12,0,illustrative,0.2222222222222222
ground_truth_oracle,33033,53.910843997611664,True,12,0,illustrative,0.29411764705882354
ground_truth_oracle,33034,51.2785016563721,True,12,0,illustrative,0.1
ground_truth_oracle,33035,45.0028059813194,True,12,0,illustrative,0.29411764705882354
ground_truth_oracle,33036,20.46038158866577,True,12,0,illustrative,0.29411764705882354
ground_truth_oracle,33037,89.99259194917977,True,12,0,illustrative,0.2222222222222222
ground_truth_oracle,33038,2.2761837746948004,True,12,0,illustrative,0.29411764705882354
ground_truth_oracle,33039,12.365774943260476,True,12,0,illustrative,0.29411764705882354
ground_truth_oracle,33040,88.95394644106273,True,12,0,illustrative,0.375
ground_truth_oracle,33041,77.74545335490257,True,12,0,illustrative,0.29411764705882354
ground_truth_oracle,33042,36.609941475093365,True,12,0,illustrative,0.15789473684210525
ground_truth_oracle,33043,25.199850831879303,True,11,0,illustrative,0.5
ground_truth_oracle,33044,87.25004733132664,True,12,0,illustrative,0.15789473684210525
ground_truth_oracle,33045,104.31065203621984,True,12,0,illustrative,0.2222222222222222
ground_truth_oracle,33046,-10.185113291954622,True,12,0,illustrative,0.375
ground_truth_oracle,33047,60.606252553872764,True,12,0,illustrative,0.375
ground_truth_oracle,33048,17.80649621831253,True,12,0,illustrative,0.1
ground_truth_oracle,33049,28.63264689571224,True,11,0,illustrative,0.23529411764705882
