member_i,member_j,action_i,action_j,solver_pair_benefit,solver_single_benefit_sum,interaction_utility,derivation,source
1,9,combined,jacket,8.28196196303912,8.166110635887822,0.11585132715129731,paired frame-solver finite difference,illustrative
1,9,combined,combined,9.165135045122028,9.038026680717337,0.1271083644046911,paired frame-solver finite difference,illustrative
1,10,jacket,jacket,5.3650686754411225,5.356374061496805,0.008694613944317808,paired frame-solver finite difference,illustrative
1,10,jacket,combined,5.871781136807144,5.863272784776026,0.008508352031117994,paired frame-solver finite difference,illustrative
1,10,combined,jacket,8.177731593801063,8.169516307261606,0.008215286539456912,paired frame-solver finite difference,illustrative
1,10,combined,combined,8.684224155416853,8.676415030540827,0.007809124876025919,paired frame-solver finite difference,illustrative
1,12,jacket,jacket,4.920452377064812,4.833402567752891,0.08704980931192097,paired frame-solver finite difference,illustrative
1,12,jacket,combined,7.161521079326807,7.098508195364133,0.06301288396267424,paired frame-solver finite difference,illustrative
1,12,combined,jacket,7.73235901508432,7.646544813517693,0.08581420156662745,paired frame-solver finite difference,illustrative
1,12,combined,combined,9.968354758633193,9.911650441128934,0.056704317504259194,paired frame-solver finite difference,illustrative
1,14,jacket,jacket,4.759275245266235,4.782590960444271,-0.0233157151780361,paired frame-solver finite difference,illustrative
1,14,jacket,combined,5.140767964509649,5.18435976932226,-0.04359180481261049,paired frame-solver finite difference,illustrative
1,14,combined,jacket,7.557114426834914,7.595733206209072,-0.0386187793741577,paired frame-solver finite difference,illustrative
1,14,combined,combined,7.934339155686008,7.997502015087061,-0.0631628594010536,paired frame-solver finite difference,illustrative
1,15,jacket,combined,5.911963076217788,5.907804270926658,0.004158805291130108,paired frame-solver finite difference,illustrative
1,15,combined,combined,8.725520379139162,8.720946516691459,0.004573862447703192,paired frame-solver finite difference,illustrative
1,17,jacket,jacket,4.303875324686324,4.29103480072575,0.012840523960573336,paired frame-solver finite difference,illustrative
1,17,jacket,combined,4.38098710527175,4.366240385434139,0.014746719837610556,paired frame-solver finite difference,illustrative
1,17,combined,jacket,7.116974271039673,7.104177046490552,0.012797224549121466,paired frame-solver finite difference,illustrative
1,17,combined,combined,7.194096819351561,7.179382631198941,0.014714188152620267,paired frame-solver finite difference,illustrative
2,3,jacket,jacket,7.667007467449896,7.781671602973841,-0.11466413552394528,paired frame-solver finite difference,illustrative
2,3,jacket,combined,10.593644378197844,11.013848048651003,-0.42020367045315865,paired frame-solver finite difference,illustrative
2,3,combined,jacket,12.010393197909401,12.651694357293817,-0.6413011593844153,paired frame-solver finite difference,illustrative
2,3,combined,combined,14.838095940203306,15.883870802970979,-1.0457748627676722,paired frame-solver finite difference,illustrative
2,5,jacket,jacket,8.73427343623236,7.924567523989019,0.8097059122433414,paired frame-solver finite difference,illustrative
2,5,jacket,combined,10.871156492007845,10.05895776203305,0.8121987299747957,paired frame-solver finite difference,illustrative
2,5,combined,jacket,13.740171036278728,12.794590278308995,0.9455807579697328,paired frame-solver finite difference,illustrative
2,5,combined,combined,15.880947218106733,14.928980516353025,0.9519667017537081,paired frame-solver finite difference,illustrative
2,6,jacket,jacket,7.949711038183622,8.12985382567172,-0.18014278748809787,paired frame-solver finite difference,illustrative
